Source:,/home/caudanie/Documents/KiCadProjects/MMDVM_HS_Hat/mmdvm_hs-hat.sch,,,,,,,,,,
Date:,Mon 28 May 2018 01:47:52 PM CEST,,,,,,,,,,
Tool:,Eeschema 5.0.0-rc2-unknown-da66005~65~ubuntu16.04.1,,,,,,,,,,
Generator:,/usr/lib/x86_64-linux-gnu/kicad/plugins/bom_csv_grouped_by_value.py,,,,,,,,,,
Component Count:,76,,,,,,,,,,
,,,,,,,,,,,
Individual Components:,,,,,,,,,,,
,,,,,,,,,,,
Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet,MFR,MPN,SPN,SPR,SPURL
,,C29,100n,mmdvm_hs-hat-rescue:C-RESCUE-mmdvm_hs-hat,Capacitor_SMD:C_0402_1005Metric,http://www.mouser.com/ds/2/427/vjw1bcbascomseries-223529.pdf,Vishay / Vitramon,VJ0402V104ZXJCW1BC,77-VJ0402V104ZXJCBC,Mouser,
,,C30,10u/10V,mmdvm_hs-hat-rescue:CP-RESCUE-mmdvm_hs-hat,Capacitor_Tantalum_SMD:CP_EIA-3216-18_Kemet-A,http://www.mouser.com/ds/2/40/f93-776559.pdf,AVX,F931A106KAA,647-F931A106KAA,Mouser,
,,C31,10u,mmdvm_hs-hat-rescue:C-RESCUE-mmdvm_hs-hat,Capacitor_SMD:C_0402_1005Metric,http://www.mouser.com/ds/2/281/c02e-2905.pdf,Murata Electronics,GRJ155R60J106ME11D,81-GRJ155R60J106ME1D,Mouser,
,,D1,red,mmdvm_hs-hat-rescue:LED-RESCUE-mmdvm_hs-hat,LED_SMD:LED_0402_1005Metric,http://www.mouser.com/ds/2/216/APHHS1005SURCK-32322.pdf,Kingbright,APHHS1005SURCK,604-APHHS1005SURCK,Mouser,
,,D2,green,mmdvm_hs-hat-rescue:LED-RESCUE-mmdvm_hs-hat,LED_SMD:LED_0402_1005Metric,http://www.mouser.com/ds/2/216/APHHS1005CGCK-38896.pdf,Kingbright,APHHS1005CGCK,604-APHHS1005CGCK,Mouser,
,,D3,yellow,mmdvm_hs-hat-rescue:LED-RESCUE-mmdvm_hs-hat,LED_SMD:LED_0402_1005Metric,http://www.mouser.com/ds/2/216/APG1005SYC-T-315808.pdf,Kingbright,APG1005SYC-T,604-APG1005SYCT,Mouser,
,,D4,red,mmdvm_hs-hat-rescue:LED-RESCUE-mmdvm_hs-hat,LED_SMD:LED_0402_1005Metric,http://www.mouser.com/ds/2/216/APHHS1005SURCK-32322.pdf,Kingbright,APHHS1005SURCK,604-APHHS1005SURCK,Mouser,
,,D5,green,mmdvm_hs-hat-rescue:LED-RESCUE-mmdvm_hs-hat,LED_SMD:LED_0402_1005Metric,http://www.mouser.com/ds/2/216/APG1005SYC-T-315808.pdf,Kingbright,APG1005SYC-T,604-APG1005SYCT,Mouser,
,,D6,yellow,mmdvm_hs-hat-rescue:LED-RESCUE-mmdvm_hs-hat,LED_SMD:LED_0402_1005Metric,http://www.mouser.com/ds/2/216/APHHS1005CGCK-38896.pdf,Kingbright,APHHS1005CGCK,604-APHHS1005CGCK,Mouser,
,,D7,amber,mmdvm_hs-hat-rescue:LED-RESCUE-mmdvm_hs-hat,LED_SMD:LED_0402_1005Metric,https://www.mouser.de/kingbright-minikin-air-leds,Kingbright,APG1005SEC-T,604-APG1005SECT,Mouser,
